Name,Artist,Album,Popularity,Lyrics,Title,Additional_Info,Preprocessed_Lyrics,Genre
Let It Be - Remastered,The Beatles,Let It Be (Remastered),0," when i find myself in times of trouble mother mary comes to me speaking words of wisdom let it be and in my hour of darkness she is standing right in front of me speaking words of wisdom let it be   let it be, let it be let it be, let it be whisper words of wisdom let it be   and when the broken hearted people living in the world agree there will be an answer let it be for though they may be parted there is still a chance that they will see there will be an answer let it be you might also like let it be, let it be let it be, let it be yeah, there will be an answer let it be let it be, let it be let it be, let it be whisper words of wisdom let it be      let it be, let it be let it be, yeah, let it be whisper words of wisdom let it be   and when the night is cloudy there is still a light that shines on me shine until tomorrow let it be i wake up to the sound of music mother mary comes to me speaking words of wisdom let it be, yeah  let it be, let it be let it be, yeah, let it be oh, there will be an answer let it be let it be, let it be let it be, yeah, let it be oh, there will be an answer let it be let it be, let it be let it be, yeah, let it be whisper words of wisdom let it beembed",Let It Be , Remastered,"find time trouble mother mary come speaking word wisdom let hour darkness standing right front speaking word wisdom let let , let let , let whisper word wisdom let broken hearted people living world agree answer let though may parted still chance see answer let might also like let , let let , let yeah , answer let let , let let , let whisper word wisdom let let , let let , yeah , let whisper word wisdom let night cloudy still light shine shine tomorrow let wake sound music mother mary come speaking word wisdom let , yeah let , let let , yeah , let oh , answer let let , let let , yeah , let oh , answer let let , let let , yeah , let whisper word wisdom let beembed",Pop
Paranoid,Black Sabbath,Paranoid (2009 Remastered Version),82,"   finished with my woman 'cause she couldn't help me with my mind people think i'm insane because i am frowning all the time   all day long i think of things but nothing seems to satisfy think i'll lose my mind if i don't find something to pacify   can you help me occupy my brain? oh yeah   i need someone to show me the things in life that i can't find i can't see the things that make true happiness i must be blind   you might also like make a joke and i will sigh and you will laugh and i will cry happiness i cannot feel and love to me is so unreal   and so, as you hear these words telling you now of my state i tell you to enjoy life i wish i could but it's too lateembed",Paranoid,,"finished woman 'cause could n't help mind people think 'm insane frowning time day long think thing nothing seems satisfy think 'll lose mind n't find something pacify help occupy brain ? oh yeah need someone show thing life ca n't find ca n't see thing make true happiness must blind might also like make joke sigh laugh cry happiness feel love unreal , hear word telling state tell enjoy life wish could 's lateembed",Rock
I Heard It Through The Grapevine,Marvin Gaye,I Heard It Through The Grapevine / In The Groove (Stereo),1," ooh-ooh, i bet you're wondering how i knew 'bout your plans to make me blue with some other guy you knew before between the two of us guys you know i love you more it took me by surprise, i must say when i found out yesterday don't you know that   i heard it through the grapevine not much longer would you be mine oh, i heard it through the grapevine oh, i'm just about to lose my mind honey, honey, yeah (heard it through the grapevine, not much longer would you be my baby)   i know a man ain't supposed to cry but these tears, i can't hold inside losing you would end my life, you see 'cause you mean that much to me you could have told me yourself that you love someone else instead you might also like i heard it through the grapevine not much longer would you be mine oh, i heard it through the grapevine and i'm just about to lose my mind honey, honey, yeah (heard it through the grapevine, not much longer would you be my baby)   people say believe half of what you see son, and none of what you hear but i can't help being confused if it's true please tell me, dear do you plan to let me go for the other guy you loved before? don't you know   i heard it through the grapevine not much longer would you be mine, baby i heard it through the grapevine ooh, i'm just about to lose my mind honey, honey, yeah (heard it through the grapevine, not much longer would you be my baby)   (yeah, yeah, yeah) honey, honey, i know (heard it through the grapevine, not much longer would you be my baby) that you're letting me go (yeah, yeah, yeah) said i heard it through the grapevine (heard it through the grapevine, not much longer would you be my baby) ooh, heard it through the grapevine (yeah, yeah, yeah)embed",I Heard It Through The Grapevine,,"ooh-ooh , bet 're wondering knew 'bout plan make blue guy knew two u guy know love took surprise , must say found yesterday n't know heard grapevine much longer would mine oh , heard grapevine oh , 'm lose mind honey , honey , yeah ( heard grapevine , much longer would baby ) know man ai n't supposed cry tear , ca n't hold inside losing would end life , see 'cause mean much could told love someone else instead might also like heard grapevine much longer would mine oh , heard grapevine 'm lose mind honey , honey , yeah ( heard grapevine , much longer would baby ) people say believe half see son , none hear ca n't help confused 's true please tell , dear plan let go guy loved ? n't know heard grapevine much longer would mine , baby heard grapevine ooh , 'm lose mind honey , honey , yeah ( heard grapevine , much longer would baby ) ( yeah , yeah , yeah ) honey , honey , know ( heard grapevine , much longer would baby ) 're letting go ( yeah , yeah , yeah ) said heard grapevine ( heard grapevine , much longer would baby ) ooh , heard grapevine ( yeah , yeah , yeah ) embed",R B
Life on Mars? - 2015 Remaster,David Bowie,Hunky Dory (2015 Remaster),72," it's a god-awful small affair to the girl with the mousy hair but her mummy is yelling, ""no!"" and her daddy has told her to go but her friend is nowhere to be seen now she walks through her sunken dream to the seat with the clearest view and she's hooked to the silver screen   but the film is a saddening bore for she's lived it ten times or more she could spit in the eyes of fools as they ask her to focus on   sailors fighting in the dance hall oh, man, look at those cavemen go it's the freakiest show take a look at the lawman beating up the wrong guy oh, man, wonder if he'll ever know he's in the best selling show is there life on mars? you might also like it's on america's tortured brow that mickey mouse has grown up a cow now the workers have struck for fame 'cause lennon's on sale again see the mice in their million hordes from ibiza to the norfolk broads rule britannia is out of bounds to my mother, my dog, and clowns   but the film is a saddening bore because i wrote it ten times or more it's about to be writ again as i ask you to focus on  sailors fighting in the dance hall oh, man, look at those cavemen go it's the freakiest show take a look at the lawman beating up the wrong guy oh, man, wonder if he'll ever know he's in the best selling show is there life on mars?embed",Life on Mars? , 2015 Remaster,"'s god-awful small affair girl mousy hair mummy yelling , `` ! '' daddy told go friend nowhere seen walk sunken dream seat clearest view 's hooked silver screen film saddening bore 's lived ten time could spit eye fool ask focus sailor fighting dance hall oh , man , look caveman go 's freakiest show take look lawman beating wrong guy oh , man , wonder 'll ever know 's best selling show life mar ? might also like 's america 's tortured brow mickey mouse grown cow worker struck fame 'cause lennon 's sale see mouse million horde ibiza norfolk broad rule britannia bound mother , dog , clown film saddening bore wrote ten time 's writ ask focus sailor fighting dance hall oh , man , look caveman go 's freakiest show take look lawman beating wrong guy oh , man , wonder 'll ever know 's best selling show life mar ? embed",Pop
You Can't Always Get What You Want - Single Version,The Rolling Stones,Singles 1968-1971 (International Version),0," i saw her today at the reception a glass of wine in her hand i knew she would meet her connection at her feet was a foot-loose man no, you can't always get what you want you can't always get what you want you can't always get what you want but if you try sometime you'll find you get what you need   i saw her today at the reception a glass of wine in her hand i knew she was gonna meet her connection at her feet was a footloose man   you can't always get what you want you can't always get what you want you can't always get what you want but if you try sometimes well, you might find you get what you need ahh, yeah-h-h oh you might also like and i went down to the demonstration to get my fair share of abuse singing, ""we're gonna vent our frustration if we don't, we're going to blow a -amp fuse"" sing it to me, honey   you can't always get what you want you can't always get what you want you can't always get what you want but if you try sometimes well, you just might find you get what you need ah baby, yeah ahh   i went down to the chelsea drugstore to get your prescription filled i was standing in line with mr. jimmy and, man, did he look pretty ill we decided that we would have a soda my favorite flavor, cherry red i sung my song to mr. jimmy yeah, and he said one word to me, and that was ""dead"" i said to him:  you can't always get what you want, well no you can't always get what you want, i tell you, baby you can't always get what you want, no but if you try sometime you just might find, uh, mm you get what you need, oh yeah, woo! woo!  you get what you need, yeah, ow baby ah yeah   i saw her today at the reception in her glass was a bleeding man she was practiced at the art of deception well, i could tell by her blood-stained hands sing it   you can't always get what you want, yeah you can't always get what you want, ooh yeah, child you can't always get what you want but if you try sometime, you just might find you just might find, you get what you need, ah yeah ah yeah, wooh! ah, you can't always get what you want (no no, baby) you can't always get what you want (you can't now now) you can't always get what you want ...mmm but if you try sometime, you just might find you just might find that you get what you need ah yeah! ah yeah! do thatembed",You Can't Always Get What You Want , Single Version,"saw today reception glass wine hand knew would meet connection foot foot-loose man , ca n't always get want ca n't always get want ca n't always get want try sometime 'll find get need saw today reception glass wine hand knew gon na meet connection foot footloose man ca n't always get want ca n't always get want ca n't always get want try sometimes well , might find get need ahh , yeah-h-h oh might also like went demonstration get fair share abuse singing , `` 're gon na vent frustration n't , 're going blow -amp fuse '' sing , honey ca n't always get want ca n't always get want ca n't always get want try sometimes well , might find get need ah baby , yeah ahh went chelsea drugstore get prescription filled standing line mr. jimmy , man , look pretty ill decided would soda favorite flavor , cherry red sung song mr. jimmy yeah , said one word , `` dead '' said : ca n't always get want , well ca n't always get want , tell , baby ca n't always get want , try sometime might find , uh , mm get need , oh yeah , woo ! woo ! get need , yeah , ow baby ah yeah saw today reception glass bleeding man practiced art deception well , could tell blood-stained hand sing ca n't always get want , yeah ca n't always get want , ooh yeah , child ca n't always get want try sometime , might find might find , get need , ah yeah ah yeah , wooh ! ah , ca n't always get want ( , baby ) ca n't always get want ( ca n't ) ca n't always get want ... mmm try sometime , might find might find get need ah yeah ! ah yeah ! thatembed",Rock
Tears in Heaven,Eric Clapton,Clapton Chronicles: The Best of Eric Clapton,5," would you know my name if i saw you in heaven? would it be the same if i saw you in heaven?   i must be strong and carry on ‘cause i know i don't belong here in heaven   would you hold my hand if i saw you in heaven? would you help me stand if i saw you in heaven?   i'll find my way through night and day ‘cause i know i just can't stay here in heaven   time can bring you down, time can bend your knees time can break your heart, have you begging please begging please     beyond the door, there's peace, i'm sure and i know there'll be no more tears in heaven you might also like would you know my name if i saw you in heaven? would you be the same if i saw you in heaven?   i must be strong and carry on 'cause i know i don't belong here in heavenembed",Tears in Heaven,,"would know name saw heaven ? would saw heaven ? must strong carry ‘ cause know n't belong heaven would hold hand saw heaven ? would help stand saw heaven ? 'll find way night day ‘ cause know ca n't stay heaven time bring , time bend knee time break heart , begging please begging please beyond door , 's peace , 'm sure know 'll tear heaven might also like would know name saw heaven ? would saw heaven ? must strong carry 'cause know n't belong heavenembed",Pop
One,U2,Achtung Baby,0," is it getting better or do you feel the same? will it make it easier on you now you got someone to blame?   you say one love, one life when it's one need in the night one love, we get to share it leaves you, baby, if you don't care for it   did i disappoint you or leave a bad taste in your mouth? you act like you never had love and you want me to go without   well, it's too late tonight to drag the past out into the light we're one, but we're not the same we get to carry each other, carry each other one   have you come here for forgiveness? have you come to raise the dead? have you come here to play jesus to the lepers in your head? you might also like did i ask too much? more than a lot you gave me nothing, now it's all i got we're one, but we're not the same well, we hurt each other, then we do it again   you say love is a temple, love a higher law love is a temple, love the higher law you ask me to enter but then you make me crawl and i can't be holding on to what you got when all you got is hurt   one love, one blood one life, you got to do what you should one life with each other sisters, brothers one life, but we're not the same we get to carry each other, carry each other one one   ooh-ooh-ooh oh-ooh baby, baby, baby higher oh, higher (baby, yeah, yeah) higher (oh) higherembed",One,,"getting better feel ? make easier got someone blame ? say one love , one life 's one need night one love , get share leaf , baby , n't care disappoint leave bad taste mouth ? act like never love want go without well , 's late tonight drag past light 're one , 're get carry , carry one come forgiveness ? come raise dead ? come play jesus leper head ? might also like ask much ? lot gave nothing , 's got 're one , 're well , hurt , say love temple , love higher law love temple , love higher law ask enter make crawl ca n't holding got got hurt one love , one blood one life , got one life sister , brother one life , 're get carry , carry one one ooh-ooh-ooh oh-ooh baby , baby , baby higher oh , higher ( baby , yeah , yeah ) higher ( oh ) higherembed",Rock
Light My Fire,The Doors,The Doors,72,"  you know that it would be untrue you know that i would be a liar if i was to say to you girl, we couldn't get much higher   come on baby, light my fire come on baby, light my fire try to set the night on fire   the time to hesitate is through no time to wallow in the mire try now, we can only lose and our love become a funeral pyre   come on baby, light my fire come on baby, light my fire try to set the night on fire, yeah     you might also like the time to hesitate is through no time to wallow in the mire try now, we can only lose and our love become a funeral pyre   come on baby, light my fire come on baby, light my fire try to set the night on fire, yeah   you know that it would be untrue you know that i would be a liar if i was to say to you girl, we couldn't get much higher   come on baby, light my fire come on baby, light my fire try to set the night on fire try to set the night on fire try to set the night on fire try to set the night on fire embed",Light My Fire,,"know would untrue know would liar say girl , could n't get much higher come baby , light fire come baby , light fire try set night fire time hesitate time wallow mire try , lose love become funeral pyre come baby , light fire come baby , light fire try set night fire , yeah might also like time hesitate time wallow mire try , lose love become funeral pyre come baby , light fire come baby , light fire try set night fire , yeah know would untrue know would liar say girl , could n't get much higher come baby , light fire come baby , light fire try set night fire try set night fire try set night fire try set night fire embed",Rock
Ring of Fire,Johnny Cash,The Essential Johnny Cash,60," love is a burning thing and it makes a fiery ring bound by wild desire i fell into a ring of fire   i fell into a burning ring of fire i went down, down, down and the flames went higher and it burns, burns, burns the ring of fire the ring of fire     i fell into a burning ring of fire i went down, down, down and the flames went higher and it burns, burns, burns the ring of fire the ring of fire   the taste of love is sweet when hearts like ours meet i fell for you like a child oh, but the fire went wild you might also like i fell into a burning ring of fire i went down, down, down and the flames went higher and it burns, burns, burns the ring of fire the ring of fire i fell into a burning ring of fire i went down, down, down and the flames went higher and it burns, burns, burns the ring of fire the ring of fire   and it burns, burns, burns the ring of fire the ring of fire the ring of fire the ring of fire the ring of fire the ring...embed",Ring of Fire,,"love burning thing make fiery ring bound wild desire fell ring fire fell burning ring fire went , , flame went higher burn , burn , burn ring fire ring fire fell burning ring fire went , , flame went higher burn , burn , burn ring fire ring fire taste love sweet heart like meet fell like child oh , fire went wild might also like fell burning ring fire went , , flame went higher burn , burn , burn ring fire ring fire fell burning ring fire went , , flame went higher burn , burn , burn ring fire ring fire burn , burn , burn ring fire ring fire ring fire ring fire ring fire ring ... embed",Country
(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,The Rolling Stones,Out Of Our Heads (Remastered),0,"   i can't get no satisfaction i can't get no satisfaction 'cause i try and i try and i try and i try i can't get no, i can't get no   when i'm driving in my car and that man comes on the radio and he's telling me more and more about some useless information supposed to fire my imagination i can't get no, oh no, no, no! hey, hey, hey! that's what i'll say!   i can't get no satisfaction i can't get no satisfaction 'cause i try, and i try, and i try, and i try i can't get no, i can't get no   when i'm watching my tv and a man comes on and tells me how white my shirts can be well he can't be a man 'cause he doesn't smoke the same cigarettes as me i can't get no, oh no, no, no hey, hey, hey, that's what i say you might also like i can't get no satisfaction i can't get no girl reaction 'cause i try, and i try, and i try, and i try i can't get no, i can't get no   when i'm riding 'round the world and i'm doing this and i'm signing that and i'm trying to make some girl who tells me baby, better come back, maybe next week 'cause you see, i'm on a losing streak i can't get no, oh no, no, no hey, hey, hey! that's what i'll say!   i can't get no, i can't get no, i can't get no i can't get no satisfaction no satisfaction, no satisfaction, no satisfaction i can't get noembed",(I Can't Get No) Satisfaction , Mono Version / Remastered 2002,"ca n't get satisfaction ca n't get satisfaction 'cause try try try try ca n't get , ca n't get 'm driving car man come radio 's telling useless information supposed fire imagination ca n't get , oh , , ! hey , hey , hey ! 's 'll say ! ca n't get satisfaction ca n't get satisfaction 'cause try , try , try , try ca n't get , ca n't get 'm watching tv man come tell white shirt well ca n't man 'cause n't smoke cigarette ca n't get , oh , , hey , hey , hey , 's say might also like ca n't get satisfaction ca n't get girl reaction 'cause try , try , try , try ca n't get , ca n't get 'm riding 'round world 'm 'm signing 'm trying make girl tell baby , better come back , maybe next week 'cause see , 'm losing streak ca n't get , oh , , hey , hey , hey ! 's 'll say ! ca n't get , ca n't get , ca n't get ca n't get satisfaction satisfaction , satisfaction , satisfaction ca n't get noembed",Rock
"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers,Live!,0," no woman, no cry no woman, no cry no woman, no cry no woman, no cry   'cause, 'cause, 'cause i remember when we used to sit in the government yard in trenchtown oba, observing the hypocrites, yeah mingle with the good people we meet, yeah good friends we have had, oh good friends we've lost along the way, yeah in this bright future you can't forget your past so dry your tears i say, yeah   no woman, no cry no woman, no cry, eh, yeah little darling don't shed no tears no woman, no cry   eh, said, said, said i remember when we used to sit in the government yard in trenchtown, yeah and then georgie would make the fire light, i say a log wood burning through the night then we would cook corn meal porridge, i say of which i'll share with you, yeah my feet is my only carriage and so i've got to push on through but while i'm gone you might also like everything's going to be alright everything's going to be alright everything's going to be alright everything's going to be alright everything's going to be alright everything's going to be alright everything's going to be alright everything's going to be alright so no woman, no cry no woman, no cry, i say oh little, oh little darling, don't shed no tears no woman, no cry, eh   no woman, no woman, no woman, no cry no woman, no cry one more time i've got to say oh little, little darling, please don't shed no tears no woman, no cry  embed","No Woman, No Cry "," Live At The Lyceum, London/1975","woman , cry woman , cry woman , cry woman , cry 'cause , 'cause , 'cause remember used sit government yard trenchtown oba , observing hypocrite , yeah mingle good people meet , yeah good friend , oh good friend 've lost along way , yeah bright future ca n't forget past dry tear say , yeah woman , cry woman , cry , eh , yeah little darling n't shed tear woman , cry eh , said , said , said remember used sit government yard trenchtown , yeah georgie would make fire light , say log wood burning night would cook corn meal porridge , say 'll share , yeah foot carriage 've got push 'm gone might also like everything 's going alright everything 's going alright everything 's going alright everything 's going alright everything 's going alright everything 's going alright everything 's going alright everything 's going alright woman , cry woman , cry , say oh little , oh little darling , n't shed tear woman , cry , eh woman , woman , woman , cry woman , cry one time 've got say oh little , little darling , please n't shed tear woman , cry embed",R B
Waterloo Sunset - Mono Version,The Kinks,Classics (The Best of The Kinks),40," dirty old river, must you keep rolling flowing into the night? people so busy, make me feel dizzy taxi light shines so bright   but i don't need no friends as long as i gaze on waterloo sunset i am in paradise   (sha-la-la) every day i look at the world from my window (sha-la-la) but chilly, chilly is the evening time waterloo sunset's fine (waterloo sunset's fine)   terry meets julie, waterloo station every friday night but i am so lazy, don't want to wander i stay at home at night   but i don't feel afraid as long as i gaze on waterloo sunset i am in paradise you might also like (sha-la-la) every day i look at the world from my window (sha-la-la) but chilly, chilly is the evening time waterloo sunset's fine (waterloo sunset's fine)   millions of people swarming like flies 'round waterloo underground but terry and julie cross over the river where they feel safe and sound   and they don't need no friends as long as they gaze on waterloo sunset they are in paradise   waterloo sunset's fine (waterloo sunset's fine, waterloo sunset's fine)embed",Waterloo Sunset , Mono Version,"dirty old river , must keep rolling flowing night ? people busy , make feel dizzy taxi light shine bright n't need friend long gaze waterloo sunset paradise ( sha-la-la ) every day look world window ( sha-la-la ) chilly , chilly evening time waterloo sunset 's fine ( waterloo sunset 's fine ) terry meet julie , waterloo station every friday night lazy , n't want wander stay home night n't feel afraid long gaze waterloo sunset paradise might also like ( sha-la-la ) every day look world window ( sha-la-la ) chilly , chilly evening time waterloo sunset 's fine ( waterloo sunset 's fine ) million people swarming like fly 'round waterloo underground terry julie cross river feel safe sound n't need friend long gaze waterloo sunset paradise waterloo sunset 's fine ( waterloo sunset 's fine , waterloo sunset 's fine ) embed",Pop
